Source,Name,Description
Mushroom Expert,Kretzschmaria deusta,"Ecology:Saprobicon the living or dead wood of hardwoods; causing a white rot; often found at the bases of trees; spring through fall; common and widely distributed east of the Rocky Mountains. The illustrated and described collections are from Illinois.
Springtime, Asexual Stage: Spreading in patches 2–9 cm across, irregular in outline; surface dull gray and dusty; dust rubbing off easily to expose a brownish, bumpy surface; white and smooth along the margin; 1–2 mm thick; flesh tough, watery whitish to brownish, developing embedded black dots; with a thin black line just under the upper surface.
Summertime, Sexual Stage: Surface black, hard, bumpy, and lumpy, forming a crust over a cavity of whitish, powdery flesh that disintegrates to create a hollow structure.
Odor: Not distinctive.
Chemical Reactions: KOH on surface negative.
Microscopic Features: Conidia 4–7.5 x 2–3 µm; subfusiform to elongated-lacrymoid; smooth; hyaline in KOH; produced on cylindric elements 25–45 x 2–4 µm. Spores 30–32 x 8–9 µm; fusiform; with a pale, longitudinal germ slit that does not extend to the ends of the spore; smooth; very dark brown to black in KOH."
First Nature,Laetiporus gilbertsonii,"The page you have requested does not exist, or it may have been renamed or moved...
...but we might still be able to help:
A message about this problem has been sent to the webmaster, and if we can fix it so that things go more smoothly in future then we certainly will. We are sorry for any inconvenience and grateful for your patience.
Email Us..."
Wikipedia,Laetiporus gilbertsonii,"Laetiporus gilbertsonii is a species of polypore fungus in the family Fomitopsidaceae. It is found in western North America and South America. It was one of three new Laetiporus species published in 2001, which were distinguished genetically from the common Laetiporus sulphureus; the others were L. conifericola and L. huroniensis. The type collection, made in San Francisco's Golden Gate Park in 1997, was found fruiting on a eucalyptus tree. It has also been collected in Oregon and Washington. Th"
Mushroom Expert,Laetiporus gilbertsonii,"Ecology:Parasiticandsaprobicon living and dead oaks andeucalyptustrees; causing abrown rotof the heartwood; growing alone or gregariously on wood above the ground; fall and winter; distributed along the West Coast and in the southwestern United States, as well as western Mexico. The illustrated and described collection is from California.
Fruiting Body: Up to 20 cm across; usually consisting of several to many shelving caps.
Caps: 6–14 cm across; 4–10 cm deep; up to 2 cm thick; fan-shaped to semicircular; finely suedelike; bright to pale yellow or orangish yellow, with concentric bands of alternating shades of color; fading in maturity and with direct sunlight; the margin bright yellow when fresh whitish.
Pore Surface: Yellow; not bruising; with 2–3 circular to angular pores per mm; tubes to 5 mm deep.
Stem: Usually absent; when present poorly defined, yellowish, and tough.
Flesh: Thick; soft and watery when young, becoming chalky with age; yellowish to whitish; not changing when sliced.
Odor and Taste: Not distinctive.
Microscopic Features:Spores4–6 x 3–4 µm; broadly ellipsoid; smooth; hyaline inKOH;inamyloid. Hymenialcystidianot found.Hyphal systemdimitic. Contextual binding hyphae 5–15 µm wide; often branching; aseptate; smooth; walls 0.5–1.5 µm thick; hyaline in KOH. Hymenial trama generative hyphae 3.5–4.5 µm wide; tubular and unbranched; usually parallel; septate; smooth; thin-walled; hyaline in KOH.Clamp connectionsnot found."
First Nature,Laxitextum bicolor,"The page you have requested does not exist, or it may have been renamed or moved...
...but we might still be able to help:
A message about this problem has been sent to the webmaster, and if we can fix it so that things go more smoothly in future then we certainly will. We are sorry for any inconvenience and grateful for your patience.
Email Us..."
Wikipedia,Laxitextum bicolor,Laxitextum bicolor is a plant pathogen fungus. It is inedible.
First Nature,Lentinus crinitus,"The page you have requested does not exist, or it may have been renamed or moved...
...but we might still be able to help:
A message about this problem has been sent to the webmaster, and if we can fix it so that things go more smoothly in future then we certainly will. We are sorry for any inconvenience and grateful for your patience.
Email Us..."
Wikipedia,Lentinus crinitus,"Lentinus crinitus is a basidiomycete in Agaricomycotina. It is in the order Polyporales and in the family Polyporaceae, within the group Polyporellus. There are many synonyms including Agaricus essequeboensis, Lentinus chaetoloma, Lentinus essequeboensis, Lentinus microloma, Lentinus rigidulus, Lentinus subcervinus, Curtis, Lentinus wrightii, Panus crinitus, Panus wrightii, Polyporus phyllostipes, and Agaricus crinitus.  The common name is The Fringed Sawgill.
This fungus was first described by "
First Nature,Lepista nuda,"Phylum: Basidiomycota - Class: Agaricomycetes - Order: Agaricales - Family: Tricholomataceae
Distribution - Taxonomic History - Etymology - Identification - Culinary Notes - Reference Sources

Lepista nuda, the Wood Blewit, grows in leaf litter in deciduous and mixed woodland and under hedgerows during autumn and winter, often fruiting well into December during mild weather.
Wood Blewits are bluish... at least when they are young. The caps, gills and stems are actually more of a violet colour, b"
Wikipedia,Lepista nuda,"Collybia nuda, commonly known as the blewit or wood blewit and previously described as Lepista nuda and Clitocybe nuda, is an edible mushroom native to Europe and North America. Described by Pierre Bulliard in 1790, it was also known as Tricholoma nudum for many years. It is found in both coniferous and deciduous woodlands. It is a fairly distinctive mushroom that is widely eaten. It has been cultivated in Britain, the Netherlands and France. This species was reassigned to the genus Collybia in "
First Nature,Panaeolus antillarum,"The page you have requested does not exist, or it may have been renamed or moved...
...but we might still be able to help:
A message about this problem has been sent to the webmaster, and if we can fix it so that things go more smoothly in future then we certainly will. We are sorry for any inconvenience and grateful for your patience.
Email Us..."
Wikipedia,Panaeolus antillarum,"Panaeolus antillarum is a species of mushroom in the family Bolbitiaceae. It is edible but not commonly eaten. It is found from northern North America through Mexico into northern South America.
It is often mistaken for Panaeolus semiovatus var. phalaenarum or Panaeolus cyanescens, the latter species can be distinguished by the thinner, grayer cap and blue bruising."
First Nature,Phlebia radiata,"Phylum: Basidiomycota - Class: Agaricomycetes - Order: Polyporales (insertae sedis) - Family: Meruliaceae
Distribution - Taxonomic History - Etymology - Identification - Culinary Notes - Reference Sources

A wood-rotting crust fungus of fallen trunks and branches from deciduous hardwoods and occasionally conifers, this attractive species produces its spores on the wrinkled outer surface. Wrinkled Crust is very common in Britain and Ireland.

The specimens shown above are young and pale; with age"
Wikipedia,Phlebia radiata,"Phlebia radiata, commonly known as the wrinkled crust, is a common species of crust fungus in the family Meruliaceae. It is widespread in the Northern Hemisphere. It grows as a wrinkled, orange to pinkish waxy crust on the decaying wood of coniferous and deciduous trees, in which it causes a white rot. The fungus was first described scientifically in 1821 by Elias Magnus Fries."
Mushroom Expert,Phlebia radiata,"Ecology:Saprobic; spreading across logs and stumps of hardwoods or conifers; annual; causing a white rot; spring, summer, fall, and winter; widely distributed in North America.
Fruiting Body: 1-10 cm or more across; irregular in outline; up to about 3 mm thick; surface wrinkled, with the wrinkles and folds radiating from a more or less central point; orange to pink (more rarely tan with orangish edges, or purplish); occasionally developing a slightly folded-over, hairy edge.
Spore Print: White.
Microscopic Features: Spores 4-5.5 x 1.5-2 µ; smooth; sausage-shaped; inamyloid. Cystidia cylindric to clavate; up to about100 x 10 µ.Clamp connections present."
First Nature,Pleurotus djamor,"The page you have requested does not exist, or it may have been renamed or moved...
...but we might still be able to help:
A message about this problem has been sent to the webmaster, and if we can fix it so that things go more smoothly in future then we certainly will. We are sorry for any inconvenience and grateful for your patience.
Email Us..."
Wikipedia,Pleurotus djamor,"Pleurotus djamor, commonly known as the pink oyster mushroom, is a species of fungus in the family Pleurotaceae."
First Nature,Pseudohydnum gelatinosum,"Phylum: Basidiomycota - Class: Tremellomycetes - Order: Auriculariales - Family: Insertae sedis (not yet determined)
Distribution - Taxonomic History - Etymology - Identification - Culinary Notes - Reference Sources

Pseudohydnum gelatinosum is variously referred to as the Toothed Jelly Fungus, the False Hedgehog Fungus, or the White Jelly Mushroom. This rather strange fungus occurs on well-rotted coniferous wood, most commonly on spruce varieties.
The underside of this jelly fungus - a member o"
Wikipedia,Pseudohydnum gelatinosum,"Pseudohydnum gelatinosum, commonly known as the toothed jelly fungus, cat's tongue, or jelly tooth, is an Eurasian species of fungus in the order Auriculariales. Its common names refer to its gelatinous consistency and hydnoid (toothed) undersurface."
Mushroom Expert,Pseudohydnum gelatinosum,"Ecology:Saprobicon the wood or woody debris of conifers, causing awhite rot; sometimes growing from standing trees; growing alone, scattered, or gregariously; late summer and fall, or fall and winter in warmer climates; originally described from Slovenia; widely distributed in Europe, North America, Central America, the Caribbean, South America, Asia, and Oceania. The illustrated and described collections are from California and Michigan.
Cap: 2.5–5.5 cm across; tongue-shaped or kidney-shaped; broadly convex or flat; gelatinous but not slimy to the touch; smooth or finely fuzzy; translucent white to grayish, brown, or fairly dark brown; the margin tucked under when young.
Undersurface: Running down the stem; spines to 2 mm long; translucent white or pale grayish.
Stem: To 3 cm long; either lateral and stubby (when specimens are growing from the sides of logs) or well-developed and vertical (when specimens are growing from the tops of logs or from terrestrial woody debris); gelatinous; smooth; colored like the cap or paler.
Flesh: Translucent; gelatinous.
Odor: Not distinctive.
Spore Print: White.
Microscopic Features:Spores6–7 x 5–7  µm; subglobose to very broadly ellipsoid; smooth; hyaline inKOH; germinating by repetition. Probasidia 25 x 6 µm; clavate.Basidia10–12 x 10–20 µm; subglobose/clavate; cruciate-septate; with 2 or 4 sterigmata 5–12 µm long.Hyphae2–3 µm wide; smooth; hyaline in KOH;clampedat septa."
First Nature,Pycnoporus sanguineus,"The page you have requested does not exist, or it may have been renamed or moved...
...but we might still be able to help:
A message about this problem has been sent to the webmaster, and if we can fix it so that things go more smoothly in future then we certainly will. We are sorry for any inconvenience and grateful for your patience.
Email Us..."
Wikipedia,Pycnoporus sanguineus,"Pycnoporus sanguineus is a white rot saprobic fungus. It was discovered on Guana Island (part of the Virgin Islands) but occurs throughout the tropics and subtropics, usually growing on dead hardwoods.  It grows in the form of a thin dry conk with a lateral attachment to its substrate, or sometimes a very short stipe. The cap is orange-red to orange, lightening to salmon/buff in age. It has concentric zonation, and is finely tomentose to nearly glabrous. The pores on the underside are round, mea"
First Nature,Rigidoporus ulmarius,"The page you have requested does not exist, or it may have been renamed or moved...
...but we might still be able to help:
A message about this problem has been sent to the webmaster, and if we can fix it so that things go more smoothly in future then we certainly will. We are sorry for any inconvenience and grateful for your patience.
Email Us..."
Wikipedia,Rigidoporus ulmarius,"Rigidoporus ulmarius is a fungal plant pathogen found mainly on broad-leaved trees. Elm is considered particularly susceptible.
The fruiting bodies are white, knobbly and relatively hard, requiring a fair amount of force to break. Older bodies may be covered with green algae, or partially covered with vegetation and leaves making them difficult to spot. They often encapsulate grass, twigs and other debris.
Tubes are 1–5 mm long in each layer, pinkish to orange when young, browning with age, each"
First Nature,Schizophyllum commune,"Phylum: Basidiomycota - Class: Agaricomycetes - Order: Agaricales - Family: Schizophyllaceae
Distribution - Taxonomic History - Etymology - Identification - Culinary Notes - Reference Sources

Often seen on sickly hardwood trees, but equally common on dead wood including cut timber, the Split Gill fungus usually grows as a sessile bracket. On the undersides of branches, however, it more often forms centrally-attached circular fans, as shown on the left, below.
Seen from above, this is just anoth"
Wikipedia,Schizophyllum commune,"Schizophyllum commune is a species of fungus in the genus Schizophyllum. The mushroom resembles undulating waves of tightly packed corals or a loose Chinese fan. Gillies or split-gills vary from creamy yellow to pale white in colour. The cap is small, 1–4 centimetres (3⁄8–1+5⁄8 in) wide with a dense yet spongey body texture. It is known as the split-gill mushroom because of the unique, longitudinally divided nature of the namesake gills on the underside of the cap. This mushroom is found through"
Mushroom Expert,Schizophyllum commune,"Ecology:Saprobicon deadwood or occasionallyparasiticon living wood; growing alone or, more frequently, gregariously to clustered; on decaying hardwood sticks and logs (even on planks and boards); year-round (it survives by shriveling up and waiting for more moisture); originally described and named from Sweden; widely distributed in North America and throughout the world. The illustrated and described collections are from Illinois, Indiana, and Kentucky.
Cap: 1–4 cm across; fan-shaped when attached to the side of the log; irregular to shell-shaped when attached above or below; finely hairy to velvety or almost granular; dry; whitish to grayish or brownish; sometimes developing concentric textural zones.
Gills: Distant; folded together and appearing split down the middle; whitish to grayish."
First Nature,Scleroderma citrinum,"Phylum: Basidiomycota - Class: Agaricomycetes - Order: Boletales - Family: Sclerodermataceae
Distribution - Taxonomic History - Etymology - Identification - Toxicity - Reference Sources

Scleroderma citrinum, the Common Earthball, is similar in appearance to a warty potato. Acid soils, especially on the compacted paths in forests, are its main habitat. The colour of these probably poisonous members of the (artificial rather than taxonomically-related) group of fungi known as gasteromycetes or st"
Wikipedia,Scleroderma citrinum,"Scleroderma citrinum, commonly known as the common earthball, pigskin poison puffball, or common earth ball, is a species of earthball fungus found in Europe and in North America. It is the most common species of earthball fungus in the UK and occurs widely in woods, heathland and in short grass from autumn to winter. Scleroderma citrinum has two synonyms, Scleroderma aurantium (Vaill.) and Scleroderma vulgare Horn.
Earthballs are superficially similar to, and considered look-alikes of, the edib"
Mushroom Expert,Scleroderma citrinum,"Ecology:Mycorrhizalwith hardwoods and conifers; often found in mossy areas (occasionally on well-rotted wood); growing alone, scattered, or gregariously; widely distributed; summer and fall.
Fruiting Body: 2-10 cm across; round or flattened; the surface hard and scaly, yellowish to yellow-brown, often cracked; the ""skin"" whitish when sliced but blushing pinkish; sometimes gathered at the base, wheremycelial strandsmay be found.
Spore Mass: Thick and white at first, becoming purple to purple-black from the center outwards; eventually blackish to brownish and dust-like.
Chemical Reactions: Surface dark reddish with KOH.
Microscopic Features: Spores 8-13 µ; round; prominentlyreticulate."
First Nature,Sparassis crispa,"Phylum: Basidiomycota - Class: Agaricomycetes - Order: Polyporales - Family: Sparassidaceae
Distribution - Taxonomic History - Etymology - Identification - Culinary Notes - Reference Sources

This massive fungus, sometimes several attaining a weight of several kg, grows at the bases of pine trees and occasionally other softwoods in summer and autumn. Commonly referred to as the Wood Cauliflower, this really is an impressive fungus.
Although in the wild these fungi are parasitic on the roots of c"
Wikipedia,Sparassis crispa,Sparassis crispa is a species of fungus in the family Sparassidaceae. It is sometimes called cauliflower fungus.
First Nature,Stereum hirsutum,"Phylum: Basidiomycota - Class: Agaricomycetes - Order: Russulales - Family: Stereaceae
Distribution - Taxonomic History - Etymology - Identification - Culinary Notes - Reference Sources

No matter how many of these attractve bracket fungi you see, there will always be another Stereum hirsutum with significantly different coloration. The variability of this fungus makes its identification at first rather difficult.
Stereum hirsutum is common and widespread throughout Britain and Ireland. On mainl"
Wikipedia,Stereum hirsutum,"Stereum hirsutum, commonly known as the false turkey tail, hairy stereum, or hairy curtain crust, is a species of fungus and a plant pathogen that infects coniferous and deciduous trees."
Mushroom Expert,Stereum hirsutum,"Ecology:Saprobicon the dead wood of hardwoods, especially oaks; growing densely gregariously, often from gaps in the bark, fusing together laterally; causing a white rot of the heartwood; often serving as a host to algae; sometimes parasitized byjelly fungi; spring, summer, fall, and winter; widely distributed in North America.
Fruiting Body: Individually .5-3 cm across, but often fused together; fan-shaped, semicircular, or irregular; densely velvety, hairy, or with appressed hairs; with concentric zones of texture and color; colors variable, but generally ranging from yellow to tan, brown, reddish brown, or buff (sometimes developing greenish shades in old age as a result of algae); laterally attached, without a stem.
Undersurface: Smooth; yellowish to yellow-brown or grayish brown; sometimes bruising darker yellow.
Flesh: Insubstantial; tough.
Chemical Reactions: KOH red (or at first red, then black) on all surfaces.
Spore Print: White; difficult to obtain.
Microscopic Features: Spores 5-8 x 2-3.5 µ; smooth; cylindric or narrowly elliptical; amyloid. Hyphidia with rounded to subacute apices; without projections (pseudoacanthohyphidia and acanthohyphidia absent)."
First Nature,Stropharia rugosoannulata,"Phylum: Basidiomycota - Class: Agaricomycetes - Order: Agaricales - Family: Strophariaceae
Distribution - Taxonomic History - Etymology - Identification - Culinary Notes - Reference Sources

The Wine Roundhead is a large and very distinctive mushroom, at least when young and fresh. Unfortunately, the red-wine colouring of the caps soon fades to brown and eventually almost white in dry weather. making it more difficult to distinguish this roundhead mushroom from other dull-looking mushrooms of si"
Wikipedia,Stropharia rugosoannulata,"Stropharia rugosoannulata, commonly known as the wine cap stropharia, ""garden giant"", burgundy mushroom, king stropharia, or wine-red stropharia, is a species of agaric mushroom in the family Strophariaceae native to Europe and North America.
Unlike many other members of the genus Stropharia, it is regarded as a choice edible and is commercially cultivated."
Mushroom Expert,Stropharia rugosoannulata,"Ecology:Saprobic; growing scattered or gregariously (sometimes in clusters); usually found on woodchips, in gardens, and in other cultivated areas, but sometimes collected along stream beds where spring floods have occurred; spring through fall; in North America widespread and fairly common east of the Great Plains, and occasionally reported in Washington and British Columbia. The illustrated and described collections are from Pennsylvania, Massachusetts, and Illinois.
Cap: 4–13 cm; convex at first, becoming broadly convex to nearly flat; sticky when fresh, but soon glossy and dry; bald; wine red to reddish brown, fading to yellowish brown or yellowish; sometimes developing cracks in old age; the margin sometimes hung with raggedpartial veilremnants.
Gills: Attached to the stem; close or nearly crowded; short-gills frequent; whitish to pale gray at first, becoming purplish gray to purple-black.
Stem: 8–16 cm long; 1–2 cm thick; equal, or with an enlarged base; dry; bald or finely hairy; white, discoloring yellowish to brownish in age; usually featuring a thick, white to yellowishringthat is finely grooved on its upper surface (and often blackened by spores) and radially split or ""cogwheeled"" on its underside; base with whitemycelial threads.
Flesh: White; firm; unchanging when sliced.
Odor and Taste: Not distinctive.
Spore Print: Dark purple-brown to purplish black.
Chemical Reactions: KOH on cap surface olive green.
Microscopic Features: Spores 11–15 x 7–9 µm; ellipsoid, with one end slightly truncated for a large pore measuring 1-2 µm across; smooth; thick-walled; yellow-brown in KOH. Basidia 4-sterigmate. Cheilocystidia dimorphic: either 25–45 x 7.5–15 µm, fusoid-ventricose, often becoming rostrate, thin-walled, smooth, hyaline in KOH, often but not always developing globular, refractive inclusions and becoming chrysocystidia—or 35–50 x 12.5–15 µm, widely cylindric to subutriform, thin-walled, smooth (leptocystidia). Pleurocystidia similar to chryso-cheilocystidia. Pileipellis a slightly gelatinized cutis of elements 5–15 µm wide; elements smooth, hyaline to orangish brown in KOH; terminal cells cylindric with rounded apices."
First Nature,Trametes versicolor,"Phylum: Basidiomycota - Class: Agaricomycetes - Order: Polyporales - Family: Polyporaceae
Distribution - Taxonomic History - Etymology - Identification - Culinary Notes - Reference Sources

Trametes versicolor, Turkeytail fungus (formerly known as the Many-Zoned Polypore) can be found all through the year, but it is most obvious in the winter months when deciduous trees are bare. This very variable fungus grows mainly on dead hardwood, including stumps and standing dead trees as well as fallen b"
Wikipedia,Trametes versicolor,"Trametes versicolor – also known as Coriolus versicolor and Polyporus versicolor – is a common polypore mushroom found throughout the world. Meaning 'of several colors', versicolor accurately describes this fungus that displays a unique blend of markings. Additionally, owing to its shape being similar to that of a wild turkey's tail feathers, T. versicolor is most commonly referred to as turkey tail. A similar-looking mushroom commonly called ""false turkey tail"" is from a different order (Stereu"
Mushroom Expert,Trametes versicolor,"Ecology:Saprobicon the deadwood of hardwoods, or rarely on the wood of conifers; annual; causing a white rot of the sapwood; growing in dense, overlapping clusters or rosettes on logs and stumps; year-round; very widely distributed and common in North America. The illustrated and described collections are from Illinois.
Cap: 2–8 cm across; 1–4 cm deep; 1–2 mm thick; plano-convex to flat; in outline circular, semicircular, fan-shaped, bracket-shaped, or kidney-shaped; often fused with other caps; flexible when fresh; densely hairy or velvety, often with alternating zones of texture; with concentric zones of white, gray, brown, cinnamon, orangish, and reddish brown (but highly variable in color and sometimes with other shades, including blue, green, and orange).
Pore Surface: Whitish to pale brownish; not bruising; with 3–6 or more tiny pores per mm; tubes up to 1.5 mm deep.
Flesh: Insubstantial; whitish, except for a very thin black line (in cross-section) separating the cap surface from the flesh; tough and leathery.
Odor and Taste: Not distinctive.
Chemical Reactions: KOH negative to yellowish or yellow on flesh.
Spore Print: Whitish.
Microscopic Features: Spores 4.5–5.5 x 1.5–2 µm; cylindric; smooth; hyaline in KOH; inamyloid. Basidia 18–20 x 3–4.5 µm; 4-spored; clamped. Cystidia not found. Hyphal system trimitic."
First Nature,Volvariella bombycina,"Phylum: Basidiomycota - Class: Agaricomycetes - Order: Agaricales - Family: Pluteaceae.
Distribution - Taxonomic History - Etymology - Identification - Culinary Notes - Reference Sources

This rare and striking silky-capped mushroom often emerges from knot holes and other damaged areas high up on standing trees. It is not parasitic, and even when seen on living trees it is invariably attached to dead wood.
The scarcity of this mushroom should be enough to convince anyone that this is not a speci"
Wikipedia,Volvariella bombycina,"Volvariella bombycina, commonly known as the silky volvariella, silky sheath, silky rosegill, silver-silk straw mushroom, or tree mushroom, is a species of edible mushroom in the family Pluteaceae.
The fruit body (mushroom) begins developing in a thin, egg-like sac. This ruptures and the stem expands quickly, leaving the sac at the base of the stem as a volva. The cap, which can attain a diameter of up to 20 centimetres (8 inches), is white to slightly yellowish and covered with silky hairs. On "
Mushroom Expert,Volvariella bombycina,"Ecology:Saprobicon the wood of various hardwoods, either on dead trees or from the wounds of living, standing trees in forests or urban areas; usually growing alone but sometimes growing gregariously; late spring, summer and fall; widely distributed in North America but much more common east of the Rocky Mountains (and in western areas usually appearing in urban settings on the wood of cultivated trees); also found Central America, the Caribbean, South America, Europe, and central Asia—and occasionally reported from Africa and Oceania. The illustrated and described collections are from Illinois and Louisiana.
Cap: 5–12 cm; oval to subconic at first, becoming bell-shaped to broadly convex or nearly flat; dry; covered with silky hairs; snow white when young and fresh, but the hairs often becoming yellowish to brownish in age, especially over the center; the margin not becoming lined.
Gills: Free from the stem; crowded; white at first, becoming pink.
Stem: 6–15 cm long; 1–2.5 cm thick; more or less equal, but usually tapering somewhat to apex; often curved in order to set the cap ""straight"" due to growth on standing trees; dry; fairly bald; white; without aring; the base encased in a thick, white to yellowish or brown, sack-likevolva.
Flesh: White; unchanging when sliced.
Odor and Taste: Not distinctive.
Chemical Reactions: KOH negative on cap surface.
Spore Print: Brownish pink.
Microscopic Features: Spores 6–9 x 3.5–5 µm; ellipsoid; smooth; thick-walled; yellowish in KOH; inamyloid. Pleurocystidia 50–70 x 15–25 µm; lageniform or occasionally ellipsoid to subglobose; thin-walled; smooth; hyaline in KOH. Cheilocystidia similar to pleurocystidia; 35–50 x 10–15 µm. Pileipellis a non-gelatinized cutis; elements 10–35 µm wide, aseptate, smooth, thin-walled; hyaline in KOH, gradually tapering to a rounded apex."
